Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
3,Workplace and interactions,I get to interact with walkin consumers all the time I learnt to serve them with a smile no matter how difficult they are to deal with I learnt to compose myself with a gentle voice and humble attitude even if they are in the wrong and serve them The typical day at work as a retailer and a cashier was to make every customer who walk into the store and leave with the impression that they are important to us so that they will come back to shop with us again This was my first job and out on the field with customers i get to learn how to serve them talk to them suggest and help them with their choices make them feel special to us to the storecompany,nan,nan,Retail Assistant,Former Employee,Singapore,21/05/2018
4,enjoy workplace,shift working learn how to use the credit card point card good management and about the culture is good hardest part is long queue when make a payment and is also enjoyable part,nan,nan,Cashier,Former Employee,West Singapore,14/05/2018
3,a good learning experience,a good learning experience Was often moved to different departments so had to learn from scratch within a limited time which helped improve my adaptability,nan,nan,Sales Assistant,Former Employee,Singapore,7/3/2018
4,pleasant,Typically a day at work involves bringing out merchandise and display them Sometimes there is delivery and I have to check the DO Occasionally I have to do housekeeping There are other duties too like wrapping the magazines,nan,nan,Sales Assistant,Former Employee,Bedok,5/3/2018
2,secured and simple job at NTUC Fairprice Colleague at Fairprice are fun characters but not motivated because most of them are retire,Fun working environment No career prospects Management system is worse Stuff not getting updated Can damage backside cause most the time carry the heavy items,nan,nan,Sales Assistant,Current Employee,Gove County KS,28/02/2018
5,Fun workplace,Learn something new everyday peak hours only in afternoon good company culture Everyone is fun to work with Great job benefits and jobs are easy,nan,nan,Sales Assistant parttime,Former Employee,Bukit Batok,26/02/2018
5,productive company,First thing is to thank God and love your work ived learned to interact with people follow managements rules be part of the company as a family and enjoy every single and moments the work,nan,nan,Cashier,Former Employee,Singapore,19/02/2018
5,supportive work environment,I was personally comfortable working here Seniors and supervisors were helpful and guided me It was overall a pleasant working environment and i was able to learn new skills The job became tiring when there were overwhelming customers due to promotions or holidays but it was manageable as most customers were understanding and patient the seniors also taught me ways to work faster without getting annoyed or angry,nan,nan,Cashier,Former Employee,Thomson,15/01/2018
4,Learn a lot of things,Clean the area of replenishing First in first out the stock before replinish I Learned how to handle staff and customers also ordering and recieving of stocks Hardest part when I forget to order the stocks Most enjoyable is to served the customers what they need,nan,nan,Retail Assistant,Former Employee,Singapore,11/12/2017
2,Fun place to work,I worked just below my blook Was a part timer there I packed food and do cashering The pay was to low and i wanted to study So i had to keace NTUC,nan,nan,Retail Cashier,Former Employee,Depot Rd,3/12/2017
2,join only if you ran out of option,go find other job like usher or some event better pay and more enjoyableHere your carry heavy stuff and some time you may injured yourself so join if you wanna work out and get paid at the same timeYou will need to have a flexible mind if not you might be hard on youAlso some team leader will be more biased base on if you are ite or olevel same goes to the seniorSo ya working is never a good thing but no choice need money Some senior although they are fierce but they still guild you well just that you have to get use to their gangster attitude Others you might get back stab control around and sometime split vulgar by the old seniors there in hokkien usually which i understand Team leader is OK OK as in normal attitude arrogant and strict but just that he carry customer ball too much during selling orange until they climb over his headUnlike some other company i worked they have the right to ignored customer if they gone too much,nan,nan,Sales Assistant Parttime,Former Employee,Ang Mo Kio,23/11/2017
5,Loved to work as team,Loved to work as a cashier as I got a lot experience in this linenot only work with NTUC but used to work with 711 for more then 10years n giant for 2 yearsnot been working since last 2 yearscoz my kids are still young n need more attentionnow my kids are big enough to look after the themself,nan,nan,Cashier Parttime,Current Employee,Bukit Merah Central NTUC Fairprice,14/11/2017
