Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
4,NIL,nan,friendly environment relaxed nothing much else to say,quite slow paced Experience it yourself when you enter,Cloud Engineer,Current Employee,nan,20/01/2023
5,Qa engineer,nan,Learn alot from the seniors great place to work in,Cant think of any yet,Engineer,Current Employee,nan,18/01/2023
5,Overall,nan,good work life balance company respects ur leave,pay too low for market rate,Assistant Manager,Current Employee,nan,17/01/2023
2,Good for retirement,nan,Slow paced environment many peers to talk to,Slow career progression heavy workload of executives as managers are not supportive,Senior Engineer,Former Employee,nan,11/01/2023
3,Good place to start your career,nan,Big company with many opportunities within good place to start your career,Limited career planning and prospect at senior level,AVPSales,Current Employee,Singapore,08/01/2023
3,Sales Engineer,nan,13th month and year end bonus,Work can be heavy sometimes,Assistant Project Manager,Former Employee,nan,17/01/2023
3,Good,nan,Lack of man power as always,Good working environment and friendly colleague,Buyer,Current Employee,nan,16/01/2023
4,Experienced management team,nan,Experienced management team and they know what they are doing Good teamwork work,There is to much things to be done,Senior Systems Engineer,Current Employee,Ang Mo Kio New Town,01/01/2023
3,short review,nan,work life balance decent pay place to retire,slow growth old traditional thinking,Software Engineeer,Current Employee,Ang Mo Kio New Town,13/01/2023
5,Tlae,nan,Good place to work and gain basic knowledge and skills working on aircraft,Nothing bad for the employees and its a great company to work for,LAETSalesInside Sales,Current Employee,Singapore,15/12/2022
3,Its ok,nan,Time to learn new technologies,Salary I feel is somewhat below market value for older staff,Manager,Current Employee,Singapore,09/01/2023
4,nice,nan,colleagues are very kind and supportive,Low salary and annual bonus,Software Engineer,Current Employee,Ang Mo Kio New Town,11/01/2023
2,Good environment but low salary,nan,Good environment Good learning experience,Lower salary for software engineers as compared to friends in the same field,Software Engineer,Current Employee,nan,05/01/2023
4,Work life balance,nan,Very good work culture supportive colleagues,There are no cons in this company,Technical Writer,Former Employee,Singapore,04/12/2022
5,Best,nan,Good best great awesome exciting,Nothing to say bad about them,Planner,Current Employee,Flensburg,01/12/2022
2,Good for retirement,nan,Slow paced environment many peers to talk to,Slow career progression heavy workload of executives as managers are not supportive,Senior Engineer,Former Employee,nan,11/01/2023
3,Good place to start your career,nan,Big company with many opportunities within good place to start your career,Limited career planning and prospect at senior level,AVPSales,Current Employee,Singapore,08/01/2023
3,Sales Engineer,nan,13th month and year end bonus,Work can be heavy sometimes,Assistant Project Manager,Former Employee,nan,17/01/2023
5,Great experience,nan,Very good performance and nice,Please before taking fresher please provide training for them,Jewellery Designer,Former Employee,nan,27/11/2022
5,Good,nan,This is Aerospace Department in LT Comapany,Project management file work always Challenges work,Design Engineer,Current Employee,nan,16/11/2022
3,Good,nan,Lack of man power as always,Good working environment and friendly colleague,Buyer,Current Employee,nan,16/01/2023
3,short review,nan,work life balance decent pay place to retire,slow growth old traditional thinking,Software Engineeer,Current Employee,Ang Mo Kio New Town,13/01/2023
3,Its ok,nan,Time to learn new technologies,Salary I feel is somewhat below market value for older staff,Manager,Current Employee,Singapore,09/01/2023
2,Ok for no expectations of progression,nan,Public listed governmentlinked relatively stable,Traditional hierarchical inclined towards oppressive by condoning abusive behaviors Understand however not apply to all business units Executive management appears more open than local office management,Finance,Current Employee,nan,29/11/2022
3,Its okay,nan,Good starting pay good opportunities for learning and taking higher responsibility,Increments are terribly low 12 per year Long hours Staff morale is terrible,Senior Engineer,Current Employee,Jurong East New Town,14/12/2022
3,Mediocre,nan,Good for learning for fresh grads,Understaff Overworked pay too little,Engineer,Former Employee,nan,25/12/2022
3,Not Bad,nan,Lots of government contracts so business is good,Many ex Army officers working here,IT Specialist,Former Employee,Ang Mo Kio New Town,21/12/2022
3,N8ce ppace to get some experience,nan,Good people to work with Intresting work,Low salaries Low worklife balance,Software Engineer,Former Employee,nan,17/12/2022
5,Good Team,nan,Team was good and adaptive,Not applicable for now yet,Anonymous Employee,Current Employee,nan,20/12/2022
4,Great if you are under the right boss horrible if you are under a bad one,nan,I have experienced being in different teams and bosses I met my best boss and worst boss there Going on course are sponsored Pay is better for local degree students,I have experienced being in different teams and bosses I met my best boss and worst boss there Health insurance was basic basic health screening yearly see GP with copay 5 for affiliated clinics,Senior Software Developer,Current Employee,Ang Mo Kio New Town,10/09/2022
2,Pay and culture,nan,People are friendly if you work for a priod of long enough,Stagnant and conservative and resistance to change,Senior Manager,Current Employee,nan,13/12/2022
3,nil,nan,very relax and stress less,bad progression in this company,Software Engineer,Current Employee,Ang Mo Kio New Town,20/12/2022
2,Staff benefits have been disappearing,nan,Stable job no need to worry when your next pay check is coming,Have to worry how much the pay check is worth and does nothing to retain good employees You will feel like profits are everything and they forget they are a government linked company,Manager,Current Employee,nan,16/10/2022
4,Knows how to treat IT staff well,nan,I like the flexible working hours and flexible lunch time hour Varies from Departments and bosses Even if you are tired of your job you can explore other fields in IT within ST Engineering easily,If youre working on confidential projects you cannot work from home If youre working on confidential projects you cannot bring a camera phone in,Software Engineer,Current Employee,nan,14/09/2022
3,Working life,nan,Flexible working hours on site,Poor leadership on management no progression and low wage,Senior Engineer,Current Employee,nan,13/12/2022
4,Average,nan,Overall the team and colleagues are friendly stable environment,It is considered as government sector and not so much international exposure,Business Development Executive,Current Employee,nan,24/10/2022
2,Ok for no expectations of progression,nan,Public listed governmentlinked relatively stable,Traditional hierarchical inclined towards oppressive by condoning abusive behaviors Understand however not apply to all business units Executive management appears more open than local office management,Finance,Current Employee,nan,29/11/2022
3,Its okay,nan,Good starting pay good opportunities for learning and taking higher responsibility,Increments are terribly low 12 per year Long hours Staff morale is terrible,Senior Engineer,Current Employee,Jurong East New Town,14/12/2022
3,Mediocre,nan,Good for learning for fresh grads,Understaff Overworked pay too little,Engineer,Former Employee,nan,25/12/2022
3,Not Bad,nan,Lots of government contracts so business is good,Many ex Army officers working here,IT Specialist,Former Employee,Ang Mo Kio New Town,21/12/2022
4,working experience,nan,good HR as well as good envirommnet,Enhance welfare for all staff,Electrical Engineer,Former Employee,nan,27/10/2022
3,N8ce ppace to get some experience,nan,Good people to work with Intresting work,Low salaries Low worklife balance,Software Engineer,Former Employee,nan,17/12/2022
2,Pay and culture,nan,People are friendly if you work for a priod of long enough,Stagnant and conservative and resistance to change,Senior Manager,Current Employee,nan,13/12/2022
2,nil,nan,high ot paid salary for my and sg,theres no progession for singaporens,Trainee Aircraft Technician,Current Employee,nan,07/12/2022
4,Work life balance,nan,Very good work culture supportive colleagues,There are no cons in this company,Technical Writer,Former Employee,Singapore,04/12/2022
1,Very good conditi,nan,Im doing great in the company,The company is working perfectly well,Anonymous Employee,Former Employee,nan,25/12/2022
5,Best,nan,Good best great awesome exciting,Nothing to say bad about them,Planner,Current Employee,Flensburg,01/12/2022
2,Pros and cons,nan,13th Month Salary bonus is quite extensive,No life balance Quite hard to get promotion,Presales Engineer,Former Employee,nan,30/11/2022
1,Not worth to come,nan,Friendly culture Fellow engineers are ok,Company tend to ignore those engineers who go on site to do the handson work And if there is issues they are the first to be blamed Was from a department which deals with classified job and as more of those with clearance leaving the jobs pile,Senior Engineer,Current Employee,Ang Mo Kio New Town,21/07/2022
1,Dont bother joining ST engineering,nan,The only good things about here is the colleagues,Came in as an E4 as assistant engineer 1 person work on majority of the project didnt get promoted Lousy approving officer AO dont want to push me up for promotion even more than qualified to be a full engineer E5 Pathethic increment and heard from someone my increment is consider pretty high in terms of when I am clearly 30 underpaid compared to fresh grad Fresh grad from private U come in already 48k Need take how long to catch up with them,Assistant Engineer,Former Employee,nan,03/08/2022
5,Great experience,nan,Very good performance and nice,Please before taking fresher please provide training for them,Jewellery Designer,Former Employee,nan,27/11/2022
5,Good,nan,This is Aerospace Department in LT Comapany,Project management file work always Challenges work,Design Engineer,Current Employee,nan,16/11/2022
3,work life balance slow progression,nan,good for retirement life there is work life balance,slow progression salary not as competitive median age is high and not many young people,Anonymous Employee,Current Employee,nan,15/11/2022
4,Great people low salary,nan,The people here are great colleagues No toxic people here,Low salary pay for a big company,Senior Engineer,Current Employee,Ang Mo Kio New Town,09/10/2022
5,Know more,nan,Nice challenging environment and if lucky great boss,Government projects can be very taxing,Manager,Current Employee,Jurong East New Town,13/10/2022
3,Average remuneration,nan,Great colleagues being supportive at work,No leadership in most managers,Senior Manager,Former Employee,Jurong West New Town,12/12/2022
1,Low pay increment,nan,Good colleagues to support you,The pay increment is just too low,Software Engineer,Former Employee,Singapore,03/01/2023
2,Bureaucratic,nan,Work life balance for the jon,a bunch of exmindef employee,Assistant Manager,Former Employee,Ang Mo Kio New Town,12/12/2022
3,personal review,nan,exposure in a lot of industries,Lots of concurrent management other than primary job scope,Senior Manager,Former Employee,Jurong East New Town,06/12/2022
3,Typical GLC company,nan,Worry free when times are bad as long as you are not the bottom percentile of performer You will still get meager pay rise that hardly beats inflation rate,Too much red tape and clearance that impedes cross collaboration Dillusioned with being One ST low level of synergy across BU,Production Engineer,Current Employee,Singapore,18/10/2022
4,Overtime even if you decline,nan,OT is always available if you are willing,OT till you dont wantSeems if you dont OTyou are not supporting Customer demanding,Engineer,Current Employee,nan,26/09/2022
4,Engineer,nan,Colleagues are helpful and support when require Flexible and depending the managers you are under with can be understanding on technical issues Work life balance is good,increment is low since based on average market rate Improvement takes time and depending if the management willing to take risk in changes,Engineer,Current Employee,Singapore,17/07/2022
1,GLC,nan,Stable company as its under Temasek Holdings,Benefits need to be improved,Account Manager,Former Employee,nan,02/01/2023
5,Lack of Resources but Many opportunities to learn,nan,Creative Problem Solving Many learning opportunities,Lack of resources put into transformation projects,Mechanical Engineer,Current Employee,Paya Lebar,04/11/2022
4,Not the best company to work for but not the worst either,nan,Stability structure and good work life balance,Bureaucracy and red tape can be overwhelming at times,Senior Engineer,Current Employee,Singapore,20/10/2022
2,normal,nan,work life balance continue studies some career progression,Bureacretic need improvement on the way it treats its renumerations,Senior Engineer,Current Employee,nan,08/11/2022
2,Poor Salary Package Lots of Unpaid Overtime,nan,High attrition hence won’t go jobless,Lots of management who are just routers and parrots Mostly yesmen or yeswomen,Senior Engineer,Current Employee,Singapore,31/10/2022
