Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
50,Nice,It is what it is production company was gave lovely experience Lots of lovely lovely people Cast and Crew are excellent Love that production company,nan,nan,Actor,Former Employee,Shepperton Surrey,July 5 2022
50,Brilliant minds and amazing culture,Your colleagues are literally superstars in their fields and if you get an interviewoffer it means you’re a rock star too Benefits are double market rate and worklife balance is incredible Unlimited holiday Very competitive so you must bring your A game to work always You can be let go anytime due to business needs or if you’re not one of the best productively,nan,nan,Netflix Technology Support Specialist,Current Employee,London,July 3 2022
30,Sometimes good sometimes bad,Always had contests to make the work environment a great place to work I do not know if the stressful calls without much help for management is worth sticking around for the contests Seems like there is always a shift bid going on and the available shifts change dramatically within each 3 month period This makes it hard for people with kids You may get a 6am to 2pm shift one time and then company will get rid of that shift all together and depending on where you are in seniority or stats yuh could end up with a 4pm to midnight shift You just never know,nan,nan,Team Lead,Former Employee,Denver CO,June 15 2022
30,Horrible Management,Even with 9 years of experience in my field I was micromanaged to death Disgusting lack of trust and inherent fear amongst teammates Abysmal leadership I was also thrown onto multiple projects on my third week without any guidance Company benefits and pay were amazing though Super top notch stuff,nan,nan,Project Manager,Former Employee,Remote,May 30 2022
50,great place to work,Its a great place to work really loved the people and the culture and the job In CS its very unique they dont have typical ways of dealing with customers and its great,nan,nan,Customer Service Manager CSM,Former Employee,Clearwater FL,May 23 2022
30,They will lay you off for India reps,Great place for good pay and benefits Not difficult to do job at all The did have alot of flexible attendance options to avoid tardiness and swap days,nan,nan,CSR Customer Service Representative,Former Employee,Salt Lake City UT,May 11 2022
30,Used to be great eroding culture,I joined Netflix 3 years ago right before COVID I enjoyed working thereculture was great the best colleagues and worked on really hard challenging but fulfilling projects Sadly with the rising competition and immense growth the culture of the company has shifted extensively HR does little to address issues with regards to compensation and performance Marketing org is a mess with 3 CMO changes during my tenure,nan,nan,Asset Operations,Former Employee,Singapore,March 22 2023
50,Productive Inclusive accommodating and overall stable workplace,When Netflix shut down its call center my heart broke I finally felt like I had found a stable job with reasonable pay and benefits that I could work at forever and work my way up I felt such pride working for this company and that was a huge deal for me I wanted to work somewhere brag worthy and that call center was it I loved literally everyone I worked with Im not sure Ill ever feel as satisfied working any other job and I wish daily they didnt outsource all their call centers and shut us down Its been years and I still miss that job,nan,nan,Customer Service Rep,Former Employee,Salt Lake City UT,April 29 2022
50,Funplace,It was really good and easy going job but then the campaign was sold and they had to let us go but it was one of the best jobs I have ever had and I will love to be back,Free lunches,Short break,Netflix Customer Service Representative,Former Employee,Nuevo León,March 28 2022
10,Just terrible,My 3 years there were the 3 worst years of my working life It was an awful experience working with a company bloated with too many inept managers I was ultimately let go for reading a gardening book at my desk between calls a rule that was never written down and none of my colleagues had heard spoken They were a bunch of no talent clowns,nan,nan,Customer Service Associate,Former Employee,Hillsboro OR,March 22 2022
50,Productive and fun place to work at they are very respectful and everyone gets along no drama Excellent work ethics my favorite job of my life,Everything at Netflix is wonderful Great I love it there Change is good and Im only part time now so Im looking for a full time job and it I have been there for 7 years it is time to explore other options,nan,nan,Customer Service Representative,Current Employee,California,March 21 2022
20,Tense and stressful workplace,Judging by the questions I’m assuming this doesn’t have to do with working on set for Netflix All I can say is out of the couple times I ended up working for Netflix specifically the last time the management was the worst out of any job I’ve ever worked The policies were absolutely ludicrous to the point where changes had to be made urgently in the middle of the project I wouldn’t care if they knew who wrote this,nan,nan,Production Assistant,Former Employee,Cleveland OH,March 18 2022
40,Dream job while youre useful,Disclaimer I was laid off as part of a reorganization 1 of 10 but I would have written the same review had I been the one who was spared In the 5 years that I worked at NF 4 first years were awesome I often felt elated I loved going to work both physically and then virtually due to COVID Mature caring colleagues interesting work lots of learning wonderful connections I joined when my team was in the startup phase and it was the best time for ideas and trying new things with no budget limitations Gradually over the course of the following 5 years the need to scale led to constant changes both of leadership and workflows Team leaders were being let go on average every 15 years if not sooner There was barely enough time to become good at what one does as yet another big reorgtitle change would come around Lastly the team came under the leadership of people who had absolutely no knowledge of the teams specialty but were experts in strategizing and optimizing processes Eventually it shifted from being peopledriven to processdriven from collegial to topdown The bottom line started winning over quality while business needs outweighed everything else Pros Awesome colleagues Productive work environment Top of market pay nice perks Lots of learning opportunities through constant change Cons Low job security Process driven vs people driven Constant change High level of ambiguity,nan,nan,Project Manager,Former Employee,Los Angeles CA,March 14 2022
50,Dordy job,Was good as anything good job bare money and good as anything man had to watch the tv all day and that free money easy money at the end of the day my son…,nan,nan,Dordy,Current Employee,London Greater London,February 24 2022
50,Great employer Nice pay Cool culture Genuine,Long hours Great people No drama The people were really nice and the company did not really spare any expense to strive to make a movie of a high caliber,nan,nan,Health Safety Monitor,Former Employee,New Orleans LA,February 21 2022
30,Generally a decent place but turnover is high and work appreciation is low,I initially enjoyed working here but I noticed that sometimes you’re not appreciated for the work that you do well and instead you’re criticized for what you may not do well Scheduling and calendar management are major for assistants but they’ll also throw project work on you which is what a coordinator should be doing not an admin,nan,nan,Administrative Assistant,Former Employee,Los Angeles CA,February 4 2022
20,The over emphasis on DEI is maddening Their entire company is modeled around 1 percent of the population,Job security is zero Once your contract is up you need to reapply to work on another project Constant emphasis on inclusion and diversity makes it feel like that is the only reason the company exist And if you don’t agree of course you are not included,nan,nan,Artist,Current Employee,Burbank CA,January 29 2022
10,Sounds great from the outside totally different on the inside,Be ready to be worked into the dirt Theres no such thing as a worklife balance here Managers protect each other and act counter to the company culture then gaslight you by saying youre misinterpreting the culture Politics is the only way to get ahead and be ready to be passed up for promotions or more responsibilities by those who play the game better even if their work is terrible,nan,nan,Engineer,Current Employee,Los Angeles CA,December 16 2021
50,Yoga balls are slippery and we need more catered food with fruits and vegetables imported and poached correctly,I really liked working with everyone in a diverse work setting I like family settings food and structurally sound sets built locally I review this job is amazing because I live locally My family lived in the South Shore and my Fiancée lived nearby and I never snuck away to visit for holidays due to quarantine and FMLA mainly the CDC,nan,nan,ON SET CoVID19 Red Zone Cleaner,Current Employee,Boston MA,December 13 2021
50,Great opportunity,Have been a wonderful place to help me learn the act of script writing how to do daily script changes camera set up Writing down what you visually want to see Working with storyboard artists to get the look right,nan,nan,WriterProducer,Current Employee,Vancouver BC,November 24 2021
40,Good but not great,When I worked here I was very happy The pay was satisfying and there were little to no cons However as I started overachieving at work I never got a raise That is why Im giving it a 4 and not a 5,nan,nan,Janitor,Former Employee,Fresno CA,November 17 2021
50,Best company,This was one of if not the best company I’ve worked for The culture the people just the overall vibe was awesome I definitely would recommend working here,nan,nan,Customer Service Representative,Former Employee,Fremont CA,November 13 2021
50,Good income,Really good pay Pretty easy but incoming calls can be nonstop at certain times Down time is fun because you can play group games or mess around with different consoles,nan,nan,Customer Service Representative,Former Employee,Clearwater FL,November 3 2021
50,One of the Best Places to work,Happy kind positive amazing place to work I was able to come to work and find out what my skills were and I will always be appreciative of Netflix for that Thank you for helping me realize a workplace can be and should be better You are amazing I’m sad you left Salt Lake 😔,nan,nan,Customer Service Representative,Former Employee,Salt Lake City UT,October 28 2021
30,Good but bad,They offered a high salary The working environment was good however there was a culture of fear which everyone was talking about Seeing my mates getting fired often I found out Im working in a place where my space was not secured,nan,nan,Management Trainee Intern,Former Employee,California,September 15 2021
30,Basic Call Center,Not a great place to work Expectations were high morale was low Nearly unreachable goals and management was just the guy who sat next to you who had the best call times,nan,nan,Customer Service Representative,Former Employee,Hillsboro OR,August 31 2021
50,Best place I have ever worked,The DVDcom hub I worked at was wonderful very few employees very laidback atmosphere but highly efficient and productive encouraging selfmotivation If you wanted to learn more positions you could if you were content with the same tasks then you could didnt have to learn new ones They paid very well for the work offered paid time off retirement and really great monthly gifts even for part time employees The work itself is fairly monotonous usually just loading and unloading DVDs and troubleshooting jams in the machinery but what warehouse isnt monotonous The flexibility to learn more positions allows a person to take on the level of challenge they are feeling up to that day,nan,nan,Machine Operator,Former Employee,Minneapolis MN,August 5 2021
30,Used to be great eroding culture,I joined Netflix 3 years ago right before COVID I enjoyed working thereculture was great the best colleagues and worked on really hard challenging but fulfilling projects Sadly with the rising competition and immense growth the culture of the company has shifted extensively HR does little to address issues with regards to compensation and performance Marketing org is a mess with 3 CMO changes during my tenure,nan,nan,Asset Operations,Former Employee,Singapore,March 22 2023
20,Not the best working environment,Environment was unprofessional They didn’t pay well Training was decent Room for growth to becoming a leader or tier 2 representative Contract eventually expired,nan,nan,Customer Service Representative,Former Employee,Farmington Hills MI,August 4 2021
30,High salary no growth selfish management,You’ll never be paid more for a job as they pay top of market and definitely mean it There’s a heavy amount of nepotism and friend hook ups happening at the company If you have a disagreement or run in with a manager your chances of survival are nearly none Netflix is the Las Vegas of jobs gambling high risk high reward against a potential huge let down should you get on someone’s bad side There’s virtually no growth in the company anymore as things are too corporate Don’t believe the legends of people starting out as assistants and becoming Vice Presidents That doesn’t happen there anymore it’s become just another top heavy corporation Great salary little future zero security,Salary Healthcare Stock,Zero worklife balance terrible middle management no growth opportunities,Support Staff,Former Employee,Los Angeles CA,August 1 2021
50,Culture,It is unlike any place that i have worked It is challenging work but rewarded with a generous top of market salary and an unparallelled benefits package Usually with full health 401k and stock options,nan,nan,Manager Design and Construction,Former Employee,Los Angeles CA,July 23 2021
50,Netflix Rules,I had the best time working at Netflix Although my position was short lived because I had other jobs I saw room for growth within the company and I the teams It was great being able to get a account with Netflix and seeing all the programs coming out Helping customers is a plus Great job for the pay too 15 and up,nan,nan,CSR Customer Service Representative,Former Employee,Mesa AZ,July 19 2021
30,Company had a bad system,All Netflix cared about was getting the customer off the phone in 7 minutes or less All they wanted you to do was send them the emails in the support page and hang up If your average call time was above seven minutes you had to go into coaching The more calls the more money and less helping people Job tookcl years off my life from the stress of working 5 to 2am,nan,nan,Customer Service Representative,Former Employee,Frisco TX,July 14 2021
10,Had better,Had better jobs Laid off due to pandemic Worked me 5 days a week even being part time Volume dropped tremendously People standing around doing nothing while being paid,nan,nan,Mail,Former Employee,Ohio,June 27 2021
50,The support from management,Netflix was an amazing place ro work We received several bonuses and rewards for or work and we treated with respect We also got devices and we were open to promotion opportunities,nan,nan,Technical Support Representative,Former Employee,Montego Bay,June 15 2021
40,Pretty Good,They offer a great place to work Excellent culture and the office space is incredible Helpful team always answering my questions never feeling left out,nan,nan,Director of Operations,Former Employee,New Jersey,June 11 2021
50,Multicultural place that embraces collaboration,Great culture Sometimes too many meetings but theyre trying to decrease those in general Personal time is prioritized if needed but work can bleed into evenings occasionally,nan,nan,Coordinator,Former Employee,Los Angeles CA,May 17 2021
50,Wholesale Department,It was fun Very fast paced Got to meet a lot of people from all walks of life Worked from 2am to 11am plus some OT some days Wish our department never closedmoved to another state Otherwise I’d still be working there,nan,nan,Warehouse Associate,Former Employee,Sunnyvale CA,May 7 2021
50,Great culture rewarding experience,Netflix is probably the best company I have worked for The culture that is often spoken about is real and in practice daily There is good support from the leadership team a great vibe and a shared vision The freedom that is given is initially a little hard to adjust to some abuse it and don’t tend to last others thrive in the environment It’s been 4 years that I have been with Netflix and everyday feels like the first exciting fast paced just overall awesome,nan,nan,Director of Operations,Current Employee,Philippines,April 5 2021
